コード,全国，都道府県，市区町村,総数,男,女
23207,豊川市,"184,661","91,964","92,697"
2320D,（旧：豊川市）,"124,997","62,344","62,653"
23601,（旧：音羽町）,"8,685","4,244","4,441"
23602,（旧：一宮町）,"16,295","8,218","8,077"
23603,（旧：小坂井町）,"21,509","10,659","10,850"
23604,（旧：御津町）,"13,175","6,499","6,676"
23208,津島市,"60,942","29,664","31,278"
23209,碧南市,"72,458","37,286","35,172"
23210,刈谷市,"153,834","80,203","73,631"
23211,豊田市,"422,330","220,716","201,614"
2321B,（旧：豊田市）,"384,488","201,910","182,578"
23522,（旧：藤岡町）,"18,864","9,572","9,292"
23523,（旧：小原村）,"3,317","1,623","1,694"
23541,（旧：足助町）,"7,108","3,442","3,666"
23543,（旧：下山村）,"3,997","1,967","2,030"
23544,（旧：旭町）,"2,450","1,188","1,262"
23566,（旧：稲武町）,"2,106","1,014","1,092"
23212,安城市,"187,990","96,093","91,897"
23213,西尾市,"169,046","85,594","83,452"
2321C,（旧：西尾市）,"113,523","58,044","55,479"
23481,（旧：一色町）,"22,671","11,210","11,461"
23482,（旧：吉良町）,"21,705","10,840","10,865"
23483,（旧：幡豆町）,"11,147","5,500","5,647"
23214,蒲郡市,"79,538","39,336","40,202"
23215,犬山市,"73,090","36,240","36,850"
23216,常滑市,"58,710","28,575","30,135"
23217,江南市,"98,255","47,920","50,335"
23219,小牧市,"148,831","75,290","73,541"
23220,稲沢市,"134,751","66,415","68,336"
2322B,（旧：稲沢市）,"102,052","50,275","51,777"
23401,（旧：祖父江町）,"20,387","10,096","10,291"
23402,（旧：平和町）,"12,312","6,044","6,268"
23221,新城市,"44,355","22,002","22,353"
2322C,（旧：新城市）,"32,200","16,129","16,071"
23581,（旧：鳳来町）,"9,916","4,800","5,116"
23582,（旧：作手村）,"2,239","1,073","1,166"
23222,東海市,"113,787","59,158","54,629"
23223,大府市,"93,123","47,374","45,749"
23224,知多市,"84,364","42,346","42,018"
23225,知立市,"72,193","38,127","34,066"
23226,尾張旭市,"83,144","40,453","42,691"
23227,高浜市,"46,106","23,790","22,316"
23228,岩倉市,"47,983","23,866","24,117"
23229,豊明市,"69,295","35,061","34,234"
23230,日進市,"91,520","45,149","46,371"
23231,田原市,"59,360","30,138","29,222"
23621,（旧：田原町）,"36,793","19,255","17,538"
23622,（旧：赤羽根町）,"5,091","2,444","2,647"
23623,（旧：渥美町）,"17,476","8,439","9,037"
23232,愛西市,"60,829","29,536","31,293"
23429,（旧：佐屋町）,"28,230","13,758","14,472"
23430,（旧：立田村）,"6,920","3,358","3,562"
23431,（旧：八開村）,"4,314","2,090","2,224"
23432,（旧：佐織町）,"21,365","10,330","11,035"
23233,清須市,"67,352","33,520","33,832"
23341,（旧：西枇杷島町）,"17,602","8,860","8,742"
23345,（旧：春日町）,"8,530","4,362","4,168"
23346,（旧：清洲町）,"23,317","11,465","11,852"
23347,（旧：新川町）,"17,903","8,833","9,070"
23234,北名古屋市,"86,385","43,041","43,344"
23343,（旧：師勝町）,"48,079","23,790","24,289"
23344,（旧：西春町）,"38,306","19,251","19,055"
23235,弥富市,"43,025","21,465","21,560"
23426,（旧：十四山村）,"5,104","2,457","2,647"
23428,（旧：弥富町）,"37,921","19,008","18,913"
23236,みよし市,"61,952","32,105","29,847"
23521,（旧：三好町）,"61,952","32,105","29,847"
23237,あま市,"86,126","42,561","43,565"
23421,（旧：七宝町）,"21,567","10,598","10,969"
23422,（旧：美和町）,"23,308","11,443","11,865"
23423,（旧：甚目寺町）,"41,251","20,520","20,731"
23238,長久手市,"60,162","29,144","31,018"
23304,（旧：長久手町）,"60,162","29,144","31,018"
23302,東郷町,"43,903","21,931","21,972"
23342,豊山町,"15,613","7,937","7,676"
23361,大口町,"24,305","12,261","12,044"
23362,扶桑町,"34,133","16,839","17,294"
23424,大治町,"32,399","16,304","16,095"
23425,蟹江町,"37,338","18,428","18,910"
23427,飛島村,"4,575","2,251","2,324"
23441,阿久比町,"28,383","13,965","14,418"
23442,東浦町,"49,596","24,726","24,870"
23445,南知多町,"16,617","8,079","8,538"
23446,美浜町,"22,496","11,213","11,283"
23447,武豊町,"43,535","22,116","21,419"
23501,幸田町,"42,449","21,504","20,945"
23561,設楽町,"4,437","2,165","2,272"
2356B,（旧：設楽町）,"3,426","1,674","1,752"
23565,（旧：津具村）,"1,011",491,520
23562,東栄町,"2,942","1,417","1,525"
23563,豊根村,"1,017",482,535
2356C,（旧：豊根村）,955,450,505
23564,（旧：富山村）,62,32,30
24000,三重県,"1,770,254","864,475","905,779"
24201,津市,"274,537","133,537","141,000"
2420B,（旧：津市）,"157,279","76,674","80,605"
24213,（旧：久居市）,"44,642","22,057","22,585"
24381,（旧：河芸町）,"18,024","8,661","9,363"
24382,（旧：芸濃町）,"8,479","4,155","4,324"
24383,（旧：美里村）,"3,138","1,481","1,657"
24384,（旧：安濃町）,"10,176","4,825","5,351"
24402,（旧：香良洲町）,"4,306","2,082","2,224"
24403,（旧：一志町）,"14,621","6,971","7,650"
24404,（旧：白山町）,"10,232","4,940","5,292"
24406,（旧：美杉村）,"3,640","1,691","1,949"
24202,四日市市,"305,424","152,669","152,755"
2420C,（旧：四日市市）,"295,259","147,597","147,662"
24342,（旧：楠町）,"10,165","5,072","5,093"
24203,伊勢市,"122,765","58,161","64,604"
2420D,（旧：伊勢市）,"85,157","40,030","45,127"
24462,（旧：二見町）,"8,168","3,863","4,305"
24463,（旧：小俣町）,"20,713","10,076","10,637"
24468,（旧：御薗村）,"8,727","4,192","4,535"
24204,松阪市,"159,145","76,360","82,785"
2420E,（旧：松阪市）,"117,569","56,454","61,115"
24405,（旧：嬉野町）,"19,127","9,141","9,986"
24407,（旧：三雲町）,"15,107","7,273","7,834"
24421,（旧：飯南町）,"4,211","2,018","2,193"
24422,（旧：飯高町）,"3,131","1,474","1,657"
24205,桑名市,"138,613","68,084","70,529"
2420F,（旧：桑名市）,"113,432","55,831","57,601"
24301,（旧：多度町）,"10,665","5,183","5,482"
24302,（旧：長島町）,"14,516","7,070","7,446"
24207,鈴鹿市,"195,670","97,350","98,320"
24208,名張市,"76,387","36,853","39,534"
24209,尾鷲市,"16,252","7,562","8,690"
24210,亀山市,"49,835","25,161","24,674"
2421B,（旧：亀山市）,"43,469","21,952","21,517"
24361,（旧：関町）,"6,366","3,209","3,157"
24211,鳥羽市,"17,525","8,255","9,270"
24212,熊野市,"15,965","7,384","8,581"
2421C,（旧：熊野市）,"14,945","6,920","8,025"
24563,（旧：紀和町）,"1,020",464,556
24214,いなべ市,"44,973","23,106","21,867"
24321,（旧：北勢町）,"13,326","6,719","6,607"
24322,（旧：員弁町）,"9,513","5,097","4,416"
24323,（旧：大安町）,"16,417","8,524","7,893"
24325,（旧：藤原町）,"5,717","2,766","2,951"
24215,志摩市,"46,057","21,206","24,851"
24521,（旧：浜島町）,"3,718","1,726","1,992"
24522,（旧：大王町）,"5,562","2,447","3,115"
24523,（旧：志摩町）,"9,112","4,160","4,952"
24524,（旧：阿児町）,"20,812","9,675","11,137"
24525,（旧：磯部町）,"6,853","3,198","3,655"
24216,伊賀市,"88,766","43,446","45,320"
24206,（旧：上野市）,"57,189","28,296","28,893"
24481,（旧：伊賀町）,"9,436","4,624","4,812"
24482,（旧：島ヶ原村）,"1,994",928,"1,066"
24483,（旧：阿山町）,"6,399","3,062","3,337"
24484,（旧：大山田村）,"4,718","2,240","2,478"
24501,（旧：青山町）,"9,030","4,296","4,734"
24303,木曽岬町,"6,023","3,032","2,991"
24324,東員町,"25,784","12,614","13,170"
24341,菰野町,"40,559","19,868","20,691"
24343,朝日町,"11,021","5,488","5,533"
24344,川越町,"15,123","7,798","7,325"
24441,多気町,"14,021","6,753","7,268"
2444B,（旧：多気町）,"9,669","4,716","4,953"
24444,（旧：勢和村）,"4,352","2,037","2,315"
24442,明和町,"22,445","10,666","11,779"
24443,大台町,"8,668","4,103","4,565"
2444C,（旧：大台町）,"5,939","2,831","3,108"
24445,（旧：宮川村）,"2,729","1,272","1,457"
24461,玉城町,"15,041","7,184","7,857"
24470,度会町,"7,847","3,798","4,049"
24471,大紀町,"7,815","3,652","4,163"
24466,（旧：大宮町）,"3,869","1,811","2,058"
24467,（旧：紀勢町）,"2,734","1,279","1,455"
24469,（旧：大内山村）,"1,212",562,650
24472,南伊勢町,"10,989","5,095","5,894"
24464,（旧：南勢町）,"6,573","3,016","3,557"
24465,（旧：南島町）,"4,416","2,079","2,337"
24543,紀北町,"14,604","6,758","7,846"
24541,（旧：紀伊長島町）,"7,413","3,478","3,935"
24542,（旧：海山町）,"7,191","3,280","3,911"
24561,御浜町,"8,079","3,765","4,314"
24562,紀宝町,"10,321","4,767","5,554"
2456B,（旧：紀宝町）,"6,560","3,033","3,527"
24564,（旧：鵜殿村）,"3,761","1,734","2,027"
25000,滋賀県,"1,413,610","697,429","716,181"
25201,大津市,"345,070","166,673","178,397"
2520B,（旧：大津市）,"324,071","156,582","167,489"
25301,（旧：志賀町）,"20,999","10,091","10,908"
25202,彦根市,"113,647","56,492","57,155"
25203,長浜市,"113,636","55,406","58,230"
2520C,（旧：長浜市）,"60,255","29,692","30,563"
25481,（旧：浅井町）,"12,237","5,937","6,300"
25482,（旧：虎姫町）,"4,628","2,237","2,391"
25483,（旧：湖北町）,"8,049","3,884","4,165"
25484,（旧：びわ町）,"6,398","3,035","3,363"
25501,（旧：高月町）,"9,227","4,529","4,698"
25502,（旧：木之本町）,"6,387","3,058","3,329"
25503,（旧：余呉町）,"2,790","1,307","1,483"
25504,（旧：西浅井町）,"3,665","1,727","1,938"
25204,近江八幡市,"81,122","39,676","41,446"
2520D,（旧：近江八幡市）,"68,929","33,694","35,235"
25381,（旧：安土町）,"12,193","5,982","6,211"
25206,草津市,"143,913","72,646","71,267"
25207,守山市,"83,236","40,872","42,364"
25208,栗東市,"68,820","34,110","34,710"
25321,（旧：栗東町）,"68,820","34,110","34,710"
25209,甲賀市,"88,358","44,014","44,344"
25363,（旧：水口町）,"40,765","20,615","20,150"
25364,（旧：土山町）,"6,920","3,475","3,445"
25365,（旧：甲賀町）,"9,471","4,559","4,912"
25366,（旧：甲南町）,"20,293","9,933","10,360"
25367,（旧：信楽町）,"10,909","5,432","5,477"
25210,野洲市,"50,513","25,121","25,392"
25342,（旧：中主町）,"11,090","5,441","5,649"
25343,（旧：野洲町）,"39,423","19,680","19,743"
25211,湖南市,"54,460","28,168","26,292"
25361,（旧：石部町）,"11,833","5,940","5,893"
25362,（旧：甲西町）,"42,627","22,228","20,399"
25212,高島市,"46,377","22,762","23,615"
25521,（旧：マキノ町）,"5,230","2,515","2,715"
25522,（旧：今津町）,"11,379","5,824","5,555"
25523,（旧：朽木村）,"1,545",743,802
25524,（旧：安曇川町）,"12,109","5,869","6,240"
25525,（旧：高島町）,"5,691","2,713","2,978"
25526,（旧：新旭町）,"10,423","5,098","5,325"
25213,東近江市,"112,819","56,296","56,523"
25205,（旧：八日市市）,"45,981","23,449","22,532"
25382,（旧：蒲生町）,"14,000","6,895","7,105"
25401,（旧：永源寺町）,"4,913","2,404","2,509"
25402,（旧：五個荘町）,"12,108","5,967","6,141"
25403,（旧：能登川町）,"22,978","11,336","11,642"
25421,（旧：愛東町）,"4,636","2,233","2,403"
25422,（旧：湖東町）,"8,203","4,012","4,191"
25214,米原市,"37,225","18,051","19,174"
25461,（旧：山東町）,"11,542","5,512","6,030"
25462,（旧：伊吹町）,"4,877","2,379","2,498"
25463,（旧：米原町）,"10,888","5,304","5,584"
25464,（旧：近江町）,"9,918","4,856","5,062"
25383,日野町,"20,964","10,555","10,409"
25384,竜王町,"11,789","6,192","5,597"
25425,愛荘町,"20,893","10,373","10,520"
25423,（旧：秦荘町）,"7,663","3,726","3,937"
25424,（旧：愛知川町）,"13,230","6,647","6,583"
25441,豊郷町,"7,132","3,458","3,674"
25442,甲良町,"6,362","3,060","3,302"
25443,多賀町,"7,274","3,504","3,770"
26000,京都府,"2,578,087","1,231,468","1,346,619"
26100,京都市,"1,463,723","692,279","771,444"
2610B,（旧：京都市）,"1,459,227","690,115","769,112"
26101,京都市北区,"117,165","55,738","61,427"
26102,京都市上京区,"83,832","38,518","45,314"
26103,京都市左京区,"166,039","79,943","86,096"
26104,京都市中京区,"110,488","50,549","59,939"
26105,京都市東山区,"36,602","16,078","20,524"
26106,京都市下京区,"82,784","38,121","44,663"
26107,京都市南区,"101,970","50,617","51,353"
26108,京都市右京区,"202,047","94,873","107,174"
2610C,（旧：京都市右京区）,"197,551","92,709","104,842"
26381,（旧：京北町）,"4,496","2,164","2,332"
26109,京都市伏見区,"277,858","133,097","144,761"
26110,京都市山科区,"135,101","63,532","71,569"
26111,京都市西京区,"149,837","71,213","78,624"
26201,福知山市,"77,306","38,504","38,802"
2620B,（旧：福知山市）,"67,256","33,684","33,572"
26421,（旧：三和町）,"3,048","1,482","1,566"
26422,（旧：夜久野町）,"3,067","1,480","1,587"
26441,（旧：大江町）,"3,935","1,858","2,077"
26202,舞鶴市,"80,336","40,244","40,092"
26203,綾部市,"31,846","15,239","16,607"
26204,宇治市,"179,630","86,301","93,329"
26205,宮津市,"16,758","7,942","8,816"
26206,亀岡市,"86,174","41,654","44,520"
26207,城陽市,"74,607","35,864","38,743"
26208,向日市,"56,859","27,119","29,740"
26209,長岡京市,"80,608","38,793","41,815"
26210,八幡市,"70,433","34,030","36,403"
26211,京田辺市,"73,753","36,111","37,642"
26212,京丹後市,"50,860","24,357","26,503"
26481,（旧：峰山町）,"11,337","5,471","5,866"
26482,（旧：大宮町）,"9,575","4,605","4,970"
26501,（旧：網野町）,"11,778","5,648","6,130"
26502,（旧：丹後町）,"4,657","2,259","2,398"
26503,（旧：弥栄町）,"4,671","2,150","2,521"
26521,（旧：久美浜町）,"8,842","4,224","4,618"
26213,南丹市,"31,629","15,392","16,237"
26382,（旧：美山町）,"3,383","1,621","1,762"
26401,（旧：園部町）,"16,575","8,321","8,254"
26402,（旧：八木町）,"7,067","3,260","3,807"
26404,（旧：日吉町）,"4,604","2,190","2,414"
26214,木津川市,"77,907","37,295","40,612"
26361,（旧：山城町）,"7,958","3,787","4,171"
26362,（旧：木津町）,"57,253","27,493","29,760"
26363,（旧：加茂町）,"12,696","6,015","6,681"
26303,大山崎町,"15,953","7,710","8,243"
26322,久御山町,"15,250","7,432","7,818"
26343,井手町,"7,406","3,594","3,812"
26344,宇治田原町,"8,911","4,501","4,410"
26364,笠置町,"1,144",541,603
26365,和束町,"3,478","1,617","1,861"
26366,精華町,"36,198","17,226","18,972"
26367,南山城村,"2,391","1,125","1,266"
26407,京丹波町,"12,907","6,113","6,794"
26403,（旧：丹波町）,"6,583","3,110","3,473"
26405,（旧：瑞穂町）,"3,714","1,785","1,929"
26406,（旧：和知町）,"2,610","1,218","1,392"
26463,伊根町,"1,928",946,982
26465,与謝野町,"20,092","9,539","10,553"
26461,（旧：加悦町）,"5,932","2,791","3,141"
26462,（旧：岩滝町）,"5,319","2,483","2,836"
26464,（旧：野田川町）,"8,841","4,265","4,576"
27000,大阪府,"8,837,685","4,235,956","4,601,729"
27100,大阪市,"2,752,412","1,326,875","1,425,537"
27102,大阪市都島区,"107,904","51,763","56,141"
27103,大阪市福島区,"79,328","37,633","41,695"
27104,大阪市此花区,"65,251","31,610","33,641"
27106,大阪市西区,"105,862","49,586","56,276"
27107,大阪市港区,"80,948","39,498","41,450"
27108,大阪市大正区,"62,083","30,164","31,919"
27109,大阪市天王寺区,"82,148","37,988","44,160"
27111,大阪市浪速区,"75,504","38,393","37,111"
27113,大阪市西淀川区,"95,864","47,067","48,797"
27114,大阪市東淀川区,"177,120","86,660","90,460"
27115,大阪市東成区,"84,906","40,341","44,565"
27116,大阪市生野区,"127,309","60,309","67,000"
27117,大阪市旭区,"89,670","42,676","46,994"
27118,大阪市城東区,"169,043","80,220","88,823"
27119,大阪市阿倍野区,"110,995","51,160","59,835"
27120,大阪市住吉区,"153,056","71,193","81,863"
27121,大阪市東住吉区,"127,849","60,161","67,688"
27122,大阪市西成区,"106,111","61,300","44,811"
27123,大阪市淀川区,"183,444","91,327","92,117"
27124,大阪市鶴見区,"112,691","53,166","59,525"
27125,大阪市住之江区,"120,072","57,611","62,461"
27126,大阪市平野区,"192,152","90,568","101,584"
27127,大阪市北区,"139,376","67,805","71,571"
27128,大阪市中央区,"103,726","48,676","55,050"
27140,堺市,"826,161","393,961","432,200"
27201,（旧：堺市）,"788,557","375,853","412,704"
27385,（旧：美原町）,"37,604","18,108","19,496"
27141,堺市堺区,"148,682","73,620","75,062"
27142,堺市中区,"121,236","58,081","63,155"
27143,堺市東区,"85,043","40,398","44,645"
27144,堺市西区,"135,375","64,546","70,829"
27145,堺市南区,"138,464","64,156","74,308"
27146,堺市北区,"159,757","75,052","84,705"
27147,堺市美原区,"37,604","18,108","19,496"
27202,岸和田市,"190,658","90,424","100,234"
27203,豊中市,"401,558","188,931","212,627"
27204,池田市,"104,993","49,992","55,001"
27205,吹田市,"385,567","185,305","200,262"
27206,泉大津市,"74,412","35,224","39,188"
27207,高槻市,"352,698","168,081","184,617"
27208,貝塚市,"84,443","40,482","43,961"
27209,守口市,"143,096","69,204","73,892"
27210,枚方市,"397,289","188,191","209,098"
27211,茨木市,"287,730","138,658","149,072"
27212,八尾市,"264,642","125,858","138,784"
27213,泉佐野市,"100,131","47,828","52,303"
27214,富田林市,"108,699","50,919","57,780"
27215,寝屋川市,"229,733","110,807","118,926"
27216,河内長野市,"101,692","47,392","54,300"
27217,松原市,"117,641","56,535","61,106"
27218,大東市,"119,367","57,939","61,428"
27219,和泉市,"184,495","88,751","95,744"
27220,箕面市,"136,868","64,992","71,876"
27221,柏原市,"68,775","32,955","35,820"
27222,羽曳野市,"108,736","51,034","57,702"
27223,門真市,"119,764","58,772","60,992"
27224,摂津市,"87,456","43,166","44,290"
27225,高石市,"55,635","26,336","29,299"
27226,藤井寺市,"63,688","29,951","33,737"
27227,東大阪市,"493,940","240,288","253,652"
27228,泉南市,"60,102","28,718","31,384"
27229,四條畷市,"55,177","26,744","28,433"
27230,交野市,"75,033","35,805","39,228"
27231,大阪狭山市,"58,435","27,409","31,026"
27232,阪南市,"51,254","24,250","27,004"
27301,島本町,"30,927","14,604","16,323"
27321,豊能町,"18,279","8,676","9,603"
27322,能勢町,"9,079","4,361","4,718"
27341,忠岡町,"16,567","7,965","8,602"
27361,熊取町,"43,763","21,310","22,453"
27362,田尻町,"8,434","4,176","4,258"
27366,岬町,"14,741","6,816","7,925"
27381,太子町,"13,009","6,331","6,678"
27382,河南町,"15,697","7,621","8,076"
27383,千早赤阪村,"4,909","2,319","2,590"
28000,兵庫県,"5,465,002","2,599,756","2,865,246"
28100,神戸市,"1,525,152","716,452","808,700"
28101,神戸市東灘区,"213,562","99,420","114,142"
28102,神戸市灘区,"136,747","63,549","73,198"
28105,神戸市兵庫区,"109,144","52,901","56,243"
28106,神戸市長田区,"94,791","44,662","50,129"
28107,神戸市須磨区,"158,719","73,064","85,655"
28108,神戸市垂水区,"215,302","100,260","115,042"
28109,神戸市北区,"210,492","99,465","111,027"
28110,神戸市中央区,"147,518","68,236","79,282"
28111,神戸市西区,"238,877","114,895","123,982"
28201,姫路市,"530,495","256,616","273,879"
2820B,（旧：姫路市）,"486,958","235,612","251,346"
28421,（旧：家島町）,"4,079","2,013","2,066"
28422,（旧：夢前町）,"16,796","8,148","8,648"
28444,（旧：香寺町）,"18,002","8,614","9,388"
28522,（旧：安富町）,"4,660","2,229","2,431"
28202,尼崎市,"459,593","222,293","237,300"
28203,明石市,"303,601","146,746","156,855"
28204,西宮市,"485,587","226,105","259,482"
28205,洲本市,"41,236","19,635","21,601"
2820C,（旧：洲本市）,"32,634","15,520","17,114"
28685,（旧：五色町）,"8,602","4,115","4,487"
28206,芦屋市,"93,922","42,008","51,914"
28207,伊丹市,"198,138","95,630","102,508"
28208,相生市,"28,355","13,592","14,763"
28209,豊岡市,"77,489","37,303","40,186"
2820D,（旧：豊岡市）,"41,827","20,310","21,517"
28541,（旧：城崎町）,"3,125","1,432","1,693"
28542,（旧：竹野町）,"4,115","1,955","2,160"
28544,（旧：日高町）,"15,517","7,420","8,097"
28561,（旧：出石町）,"9,160","4,398","4,762"
28562,（旧：但東町）,"3,745","1,788","1,957"
28210,加古川市,"260,878","127,473","133,405"
28212,赤穂市,"45,892","22,095","23,797"
28213,西脇市,"38,673","18,540","20,133"
2821B,（旧：西脇市）,"32,373","15,520","16,853"
28364,（旧：黒田庄町）,"6,300","3,020","3,280"
28214,宝塚市,"226,432","103,655","122,777"
28215,三木市,"75,294","36,259","39,035"
2821C,（旧：三木市）,"68,422","32,994","35,428"
28321,（旧：吉川町）,"6,872","3,265","3,607"
28216,高砂市,"87,722","42,379","45,343"
28217,川西市,"152,321","71,289","81,032"
28218,小野市,"47,562","23,232","24,330"
28219,三田市,"109,238","52,322","56,916"
28220,加西市,"42,700","21,077","21,623"
28221,丹波篠山市,"39,611","18,811","20,800"
2822B,（旧：篠山市）,"39,611","18,811","20,800"
28222,養父市,"22,129","10,623","11,506"
28601,（旧：八鹿町）,"9,388","4,467","4,921"
28602,（旧：養父町）,"6,565","3,200","3,365"
28603,（旧：大屋町）,"3,104","1,472","1,632"
28604,（旧：関宮町）,"3,072","1,484","1,588"
28223,丹波市,"61,471","29,464","32,007"
28641,（旧：柏原町）,"9,731","4,676","5,055"
28642,（旧：氷上町）,"17,246","8,366","8,880"
28643,（旧：青垣町）,"5,446","2,595","2,851"
28644,（旧：春日町）,"10,448","5,003","5,445"
28645,（旧：山南町）,"10,429","4,947","5,482"
28646,（旧：市島町）,"8,171","3,877","4,294"
28224,南あわじ市,"44,137","21,114","23,023"
28701,（旧：緑町）,"5,495","2,576","2,919"
28702,（旧：西淡町）,"9,088","4,330","4,758"
28703,（旧：三原町）,"14,702","7,081","7,621"
28704,（旧：南淡町）,"14,852","7,127","7,725"
28225,朝来市,"28,989","13,893","15,096"
28621,（旧：生野町）,"3,450","1,670","1,780"
28622,（旧：和田山町）,"14,873","7,158","7,715"
28623,（旧：山東町）,"5,221","2,476","2,745"
28624,（旧：朝来町）,"5,445","2,589","2,856"
28226,淡路市,"41,967","19,872","22,095"
28681,（旧：津名町）,"14,280","6,764","7,516"
28682,（旧：淡路町）,"5,035","2,377","2,658"
28683,（旧：北淡町）,"7,163","3,374","3,789"
28684,（旧：一宮町）,"6,889","3,312","3,577"
28686,（旧：東浦町）,"8,600","4,045","4,555"
28227,宍粟市,"34,819","16,635","18,184"
28521,（旧：山崎町）,"21,877","10,447","11,430"
28523,（旧：一宮町）,"7,213","3,504","3,709"
28524,（旧：波賀町）,"3,237","1,520","1,717"
28525,（旧：千種町）,"2,492","1,164","1,328"
28228,加東市,"40,645","19,956","20,689"
28341,（旧：社町）,"20,517","10,002","10,515"
28342,（旧：滝野町）,"12,601","6,236","6,365"
28343,（旧：東条町）,"7,527","3,718","3,809"
28229,たつの市,"74,316","35,918","38,398"
28211,（旧：龍野市）,"39,048","18,972","20,076"
28461,（旧：新宮町）,"13,554","6,565","6,989"
28462,（旧：揖保川町）,"11,774","5,644","6,130"
28463,（旧：御津町）,"9,940","4,737","5,203"
28301,猪名川町,"29,680","13,975","15,705"
28365,多可町,"19,261","9,311","9,950"
28361,（旧：中町）,"9,059","4,381","4,678"
28362,（旧：加美町）,"5,530","2,688","2,842"
28363,（旧：八千代町）,"4,672","2,242","2,430"
28381,稲美町,"30,268","14,775","15,493"
28382,播磨町,"33,604","16,332","17,272"
28442,市川町,"11,231","5,482","5,749"
28443,福崎町,"19,377","9,461","9,916"
28446,神河町,"10,616","4,958","5,658"
28441,（旧：神崎町）,"6,615","3,082","3,533"
28445,（旧：大河内町）,"4,001","1,876","2,125"
28464,太子町,"33,477","16,253","17,224"
28481,上郡町,"13,879","6,717","7,162"
28501,佐用町,"15,863","7,567","8,296"
2850B,（旧：佐用町）,"6,435","3,093","3,342"
28502,（旧：上月町）,"3,634","1,760","1,874"
28503,（旧：南光町）,"3,344","1,581","1,763"
28504,（旧：三日月町）,"2,450","1,133","1,317"
28585,香美町,"16,064","7,636","8,428"
28543,（旧：香住町）,"10,088","4,816","5,272"
28581,（旧：村岡町）,"4,266","2,030","2,236"
28583,（旧：美方町）,"1,710",790,920
28586,新温泉町,"13,318","6,302","7,016"
28582,（旧：浜坂町）,"8,342","3,950","4,392"
28584,（旧：温泉町）,"4,976","2,352","2,624"
29000,奈良県,"1,324,473","623,926","700,547"
29201,奈良市,"354,630","164,846","189,784"
2920B,（旧：奈良市）,"348,250","161,776","186,474"
29301,（旧：月ケ瀬村）,"1,286",599,687
29321,（旧：都祁村）,"5,094","2,471","2,623"
29202,大和高田市,"61,744","28,981","32,763"
29203,大和郡山市,"83,285","39,249","44,036"
29204,天理市,"63,889","31,275","32,614"
29205,橿原市,"120,922","57,336","63,586"
29206,桜井市,"54,857","25,909","28,948"
29207,五條市,"27,927","13,180","14,747"
2920C,（旧：五條市）,"25,629","12,068","13,561"
29445,（旧：西吉野村）,"2,108","1,009","1,099"
29448,（旧：大塔村）,190,103,87
29208,御所市,"24,096","11,122","12,974"
29209,生駒市,"116,675","55,107","61,568"
29210,香芝市,"78,113","36,925","41,188"
29211,葛城市,"36,832","17,526","19,306"
29421,（旧：新庄町）,"20,892","9,928","10,964"
29422,（旧：當麻町）,"15,940","7,598","8,342"
29212,宇陀市,"28,121","13,374","14,747"
29381,（旧：大宇陀町）,"5,823","2,749","3,074"
29382,（旧：菟田野町）,"3,276","1,582","1,694"
29383,（旧：榛原町）,"15,090","7,211","7,879"
29384,（旧：室生村）,"3,932","1,832","2,100"
29322,山添村,"3,226","1,543","1,683"
29342,平群町,"18,009","8,446","9,563"
29343,三郷町,"23,219","10,877","12,342"
29344,斑鳩町,"27,587","12,979","14,608"
29345,安堵町,"7,225","3,387","3,838"
29361,川西町,"8,167","3,944","4,223"
29362,三宅町,"6,439","3,049","3,390"
29363,田原本町,"31,177","14,870","16,307"
29385,曽爾村,"1,295",595,700
29386,御杖村,"1,479",694,785
29401,高取町,"6,729","3,139","3,590"
29402,明日香村,"5,179","2,439","2,740"
29424,上牧町,"21,714","10,117","11,597"
29425,王寺町,"24,043","11,375","12,668"
29426,広陵町,"33,810","16,045","17,765"
29427,河合町,"17,018","7,918","9,100"
29441,吉野町,"6,229","2,840","3,389"
29442,大淀町,"16,728","7,936","8,792"
29443,下市町,"5,037","2,356","2,681"
29444,黒滝村,623,296,327
29446,天川村,"1,176",567,609
29447,野迫川村,357,176,181
29449,十津川村,"3,061","1,663","1,398"
29450,下北山村,753,361,392
29451,上北山村,444,227,217
29452,川上村,"1,156",554,602
29453,東吉野村,"1,502",703,799
30000,和歌山県,"922,584","435,051","487,533"
30201,和歌山市,"356,729","167,947","188,782"
30202,海南市,"48,369","22,548","25,821"
3020B,（旧：海南市）,"37,863","17,624","20,239"
30301,（旧：下津町）,"10,506","4,924","5,582"
30203,橋本市,"60,818","28,621","32,197"
3020C,（旧：橋本市）,"48,518","22,934","25,584"
30342,（旧：高野口町）,"12,300","5,687","6,613"
30204,有田市,"26,538","12,576","13,962"
30205,御坊市,"23,481","11,404","12,077"
30206,田辺市,"69,870","32,790","37,080"
3020D,（旧：田辺市）,"59,873","28,030","31,843"
30387,（旧：龍神村）,"2,751","1,306","1,445"
30402,（旧：中辺路町）,"2,420","1,158","1,262"
30403,（旧：大塔村）,"2,378","1,152","1,226"
30426,（旧：本宮町）,"2,448","1,144","1,304"
30207,新宮市,"27,171","12,610","14,561"
3020E,（旧：新宮市）,"26,044","12,061","13,983"
30425,（旧：熊野川町）,"1,127",549,578
30208,紀の川市,"58,816","27,815","31,001"
30321,（旧：打田町）,"15,531","7,399","8,132"
