コード,全国，都道府県，市区町村,総数,男,女
03423,（旧：千厩町）,"10,139","4,997","5,142"
03424,（旧：東山町）,"6,161","2,962","3,199"
03425,（旧：室根村）,"4,550","2,175","2,375"
03426,（旧：川崎村）,"3,324","1,639","1,685"
03210,陸前高田市,"18,262","8,831","9,431"
03211,釜石市,"32,078","15,369","16,709"
03213,二戸市,"25,513","11,993","13,520"
0321B,（旧：二戸市）,"21,920","10,281","11,639"
03521,（旧：浄法寺町）,"3,593","1,712","1,881"
03214,八幡平市,"24,023","11,509","12,514"
03304,（旧：西根町）,"14,629","7,044","7,585"
03306,（旧：松尾村）,"5,342","2,536","2,806"
03523,（旧：安代町）,"4,052","1,929","2,123"
03215,奥州市,"112,937","54,840","58,097"
03204,（旧：水沢市）,"54,787","26,405","28,382"
03212,（旧：江刺市）,"26,945","13,264","13,681"
03382,（旧：前沢町）,"12,933","6,298","6,635"
03383,（旧：胆沢町）,"14,536","7,068","7,468"
03384,（旧：衣川村）,"3,736","1,805","1,931"
03216,滝沢市,"55,579","27,146","28,433"
03305,（旧：滝沢村）,"55,579","27,146","28,433"
03301,雫石町,"15,731","7,505","8,226"
03302,葛巻町,"5,634","2,731","2,903"
03303,岩手町,"12,285","5,970","6,315"
03321,紫波町,"32,147","15,390","16,757"
03322,矢巾町,"28,056","13,337","14,719"
03366,西和賀町,"5,134","2,380","2,754"
03363,（旧：湯田町）,"2,572","1,183","1,389"
03365,（旧：沢内村）,"2,562","1,197","1,365"
03381,金ケ崎町,"15,535","8,030","7,505"
03402,平泉町,"7,252","3,500","3,752"
03441,住田町,"5,045","2,470","2,575"
03461,大槌町,"11,004","5,234","5,770"
03482,山田町,"14,320","6,898","7,422"
03483,岩泉町,"8,726","4,327","4,399"
03484,田野畑村,"3,059","1,527","1,532"
03485,普代村,"2,487","1,244","1,243"
03501,軽米町,"8,421","4,090","4,331"
03503,野田村,"3,936","1,863","2,073"
03506,九戸村,"5,378","2,556","2,822"
03507,洋野町,"15,091","7,101","7,990"
03502,（旧：種市町）,"10,431","4,852","5,579"
03505,（旧：大野村）,"4,660","2,249","2,411"
03524,一戸町,"11,494","5,498","5,996"
04000,宮城県,"2,301,996","1,122,598","1,179,398"
04100,仙台市,"1,096,704","531,617","565,087"
04101,仙台市青葉区,"311,590","150,932","160,658"
04102,仙台市宮城野区,"196,732","96,341","100,391"
04103,仙台市若林区,"141,475","69,633","71,842"
04104,仙台市太白区,"234,758","112,968","121,790"
04105,仙台市泉区,"212,149","101,743","110,406"
